    -3.40141     -2.27929      2.17218     -3.41043     -2.28579      2.16534
    -3.41774      -2.3336      2.17447      -3.4064     -2.32915      2.16309
    -3.43824     -2.41325      2.17497     -3.41801     -2.40742      2.17004
    -3.44142     -2.43707      2.17269     -3.40962      -2.4251      2.16519
    -3.47401     -2.55139      2.17603     -3.47529     -2.55483      2.15662
    -3.47795     -2.57679      2.17405     -3.48013     -2.58305      2.15943
    -3.48783     -2.60769      2.17583     -3.48046     -2.60807      2.15968
    -2.99078      -2.8321      1.71917     -2.97435     -2.83761      1.71185
    -2.52611     -2.90885      1.31968      -2.5408     -2.91254      1.31866
    -2.24001     -2.95505      1.07393     -2.24053     -2.95374      1.06824
    -2.09671     -2.97207     0.952105     -2.26019     -2.95685      1.02194
   -0.161087     -1.07865    -0.255766    -0.165536     -1.07757    -0.261143
   -0.131432    -0.941219     -0.25192    -0.131061    -0.943247    -0.254007
   -0.100259     -0.80783    -0.250161   -0.0949779    -0.814586    -0.251254
   -0.719141     0.873009     0.607343    -0.720748     0.870996     0.609647
    -3.40831     -2.28198      2.17165     -3.41043     -2.28579      2.16534
    -3.41706     -2.33008      2.16896      -3.4064     -2.32915      2.16309
    -3.44826     -2.43988      2.17208     -3.48447      -2.4403      2.16158
    -3.46188     -2.51589      2.16766     -3.49163     -2.51789      2.16583
    -3.47001     -2.54475      2.16843     -3.47529     -2.55483      2.15662
     -3.4733     -2.56951      2.16604     -3.48013     -2.58305      2.15943
     -3.4805     -2.59796      2.16613     -3.48046     -2.60807      2.15968
    -3.51199     -2.71642       2.1677     -3.48914     -2.71544      2.16487
    -2.99107     -2.82945      1.71561     -2.97435     -2.83761      1.71185
      -2.905     -2.83985      1.64262     -2.90505     -2.85553      1.63772
    -2.52713     -2.90767      1.31759      -2.5408     -2.91254      1.31866
    -2.48001     -2.90776      1.27878     -2.47231     -2.91207      1.27554
     -2.4707     -2.91719      1.26918     -2.47231     -2.91207      1.27554
    -2.24025     -2.95307      1.07208     -2.24053     -2.95374      1.06824
    -2.15136     -2.96967     0.995493     -2.25044     -2.95529      1.04525
   -0.162745     -1.08839    -0.254935    -0.164977     -1.08522    -0.259041
   -0.158469     -1.08593    -0.257949    -0.164977     -1.08522    -0.259041
   -0.132237     -0.93708    -0.248946    -0.131061    -0.943247    -0.254007
   -0.107729     0.591119    0.0450147    -0.103515     0.590737    0.0423678
