x1,y1,z1,x2,y2,z2
-1.21164,-1.41193,1.31461,-1.22384,-1.41333,1.31641
-1.21612,-1.73411,1.24351,-1.21528,-1.73523,1.24247
-1.19491,-1.82669,1.2048,-1.20018,-1.83215,1.20684
-1.19141,-2.03947,1.15259,-1.18995,-2.0431,1.15702
-1.18117,-2.07572,1.13587,-1.17902,-2.08224,1.1278
-1.18297,-2.11145,1.12904,-1.18436,-2.1015,1.13585
-0.0399421,-1.24501,0.401638,-0.0342138,-1.25711,0.332642
0.351396,-1.2922,0.0728281,0.363478,-1.29531,0.0709453
0.402384,-1.51954,-0.021329,0.406399,-1.51718,-0.023787
0.69123,-1.51242,-0.25429,0.695512,-1.51335,-0.253176
0.695831,-1.49908,-0.254931,0.696108,-1.49921,-0.253588
0.718973,-1.3983,-0.250349,0.720631,-1.39941,-0.249084
0.72278,-1.38405,-0.250133,0.723027,-1.39055,-0.250782
0.731701,-1.36679,-0.253375,0.736239,-1.3665,-0.248829
0.735815,-1.35627,-0.254277,0.737579,-1.35596,-0.249744
0.738477,-1.33641,-0.251832,0.734848,-1.33788,-0.247783
0.751457,-1.2795,-0.249172,0.756443,-1.28194,-0.2519
0.756494,-1.27735,-0.252764,0.756443,-1.28194,-0.2519
0.75962,-1.26407,-0.252221,0.75066,-1.26003,-0.247874
0.76579,-1.20953,-0.24458,0.763976,-1.20594,-0.245422
0.780769,-1.17959,-0.249802,0.78169,-1.18302,-0.245889
0.810909,-1.0463,-0.24336,0.805712,-1.04292,-0.245136
0.819485,-1.02324,-0.244974,0.821216,-1.01855,-0.245072
0.825931,-1.0114,-0.247464,0.823827,-1.01297,-0.246687
0.845336,-0.931817,-0.244762,0.844383,-0.936432,-0.244079
0.847857,-0.925039,-0.245237,0.844383,-0.936432,-0.244079
0.853872,-0.886783,-0.241247,0.861964,-0.886812,-0.243248
0.857592,-0.884316,-0.243697,0.861964,-0.886812,-0.243248
0.897481,-0.714705,-0.236746,0.905213,-0.722817,-0.240743
0.905986,-0.677688,-0.235066,0.904508,-0.676502,-0.240241
0.90671,-0.670373,-0.233957,0.905624,-0.670968,-0.240854
0.909702,-0.667751,-0.23578,0.908174,-0.666532,-0.242273
0.912299,-0.664337,-0.237097,0.908174,-0.666532,-0.242273
1.06485,-0.0860635,-0.226848,1.07137,-0.0854921,-0.23149
1.06661,-0.0832002,-0.227611,1.07137,-0.0854921,-0.23149
1.14994,0.191239,-0.231626,1.15072,0.19151,-0.239308
1.1637,0.248506,-0.229518,1.17291,0.251019,-0.234534
1.16568,0.262865,-0.22779,1.1764,0.257502,-0.236011
1.16541,0.269781,-0.225972,1.1757,0.280339,-0.235662
1.16918,0.274205,-0.228005,1.1757,0.280339,-0.235662
1.19704,0.384909,-0.224949,1.17902,0.381337,-0.23686
1.23773,0.520544,-0.226535,1.25293,0.525797,-0.234071
1.23973,0.525956,-0.226906,1.25293,0.525797,-0.234071
