x1,y1,z1,x2,y2,z2
0.50298,-0.28434,0.46118,0.510182,-0.286512,0.462416
0.696392,-0.161885,0.26945,0.692023,-0.159436,0.274251
1.15988,0.233489,-0.235205,1.15214,0.236106,-0.236896
1.15347,0.237128,-0.232266,1.15214,0.236106,-0.236896
1.11198,0.291276,-0.226799,1.11649,0.284625,-0.234847
1.09191,0.320042,-0.225289,1.08536,0.321489,-0.234331
1.09096,0.323315,-0.226064,1.08536,0.321489,-0.234331
1.08803,0.333123,-0.228333,1.0854,0.332554,-0.234326
1.08703,0.33639,-0.229071,1.0854,0.332554,-0.234326
0.908908,0.618268,-0.227506,0.911347,0.618597,-0.235119
0.906957,0.620931,-0.2273,0.911347,0.618597,-0.235119
0.894156,0.649244,-0.23076,0.893414,0.652116,-0.236998
0.893801,0.653432,-0.232365,0.893414,0.652116,-0.236998
0.877911,0.665799,-0.226558,0.866088,0.665944,-0.233223
-3.51642,2.9311,1.89129,-3.51754,2.93968,1.89386
-3.65924,2.48847,2.18905,-3.62524,2.50607,2.18471
-3.63373,2.45389,2.18626,-3.62014,2.45362,2.18199
-3.55962,2.35322,2.17824,-3.52685,2.35656,2.179
-3.54743,2.32673,2.18133,-3.53047,2.33543,2.18111
-3.53759,2.30161,2.18547,-3.53022,2.31183,2.18102
-3.51128,2.26826,2.18156,-3.51346,2.25448,2.17159
-3.49384,2.23968,2.18185,-3.51346,2.25448,2.17159
-3.473,2.20961,2.18038,-3.43927,2.21926,2.17544
-3.42704,2.12887,2.18352,-3.43713,2.12807,2.1744
-3.40246,2.0979,2.17979,-3.43366,2.10375,2.17243
-3.38434,2.07026,2.17917,-3.3605,2.07131,2.17746
-3.35354,2.01815,2.1804,-3.35757,2.0262,2.17582
-3.3318,1.98946,2.17767,-3.35958,1.98449,2.17712
-3.33143,1.9707,2.18572,-3.357,1.96165,2.17563
-3.31113,1.94304,2.18357,-3.28846,1.93325,2.18116
-3.27685,1.89115,2.18222,-3.28127,1.88736,2.17686
-3.25377,1.86292,2.17834,-3.27675,1.86409,2.17415
-3.23721,1.83774,2.17774,-3.20375,1.83424,2.17686
-3.23382,1.81833,2.18393,-3.20438,1.81436,2.1773
-3.23285,1.8,2.19137,-3.20951,1.7971,2.18056
1.16616,0.23927,-0.232726,1.15214,0.236106,-0.236896
1.11876,0.297166,-0.224879,1.11863,0.29632,-0.235779
1.04867,0.402181,-0.221725,1.05932,0.397704,-0.235483
0.970557,0.543536,-0.228789,0.977125,0.537557,-0.233126
0.968853,0.546411,-0.228852,0.959008,0.547471,-0.236149
-3.64989,2.69714,2.05462,-3.64916,2.70635,2.05083
-3.6611,2.68238,2.06885,-3.66183,2.69016,2.05741
-3.67809,2.45923,2.1778,-3.70042,2.44483,2.17583
-3.66388,2.43082,2.18026,-3.70042,2.44483,2.17583
-3.65855,2.40725,2.1868,-3.61905,2.40448,2.18149
-3.6433,2.37862,2.18863,-3.62059,2.38149,2.18241
-3.58618,2.30842,2.17936,-3.61087,2.3039,2.17717
-3.55658,2.27328,2.17402,-3.52305,2.28383,2.17699
-3.54657,2.24826,2.17794,-3.5212,2.23644,2.17604
-3.51917,2.21478,2.17341,-3.52505,2.21596,2.17829
-3.51306,2.19202,2.17905,-3.52576,2.19356,2.17875
-3.50768,2.16972,2.185,-3.52408,2.16978,2.17784
-3.4923,2.14271,2.18603,-3.52074,2.14512,2.176
-3.45946,2.10762,2.17842,-3.43366,2.10375,2.17243
-3.44303,2.08058,2.17873,-3.43618,2.08323,2.17395
-3.43393,2.05714,2.18259,-3.44015,2.06366,2.17632
-3.41231,2.02807,2.18017,-3.43175,2.03674,2.17147
-3.39721,2.00221,2.1809,-3.35824,2.0051,2.17627
-3.38533,1.97797,2.18316,-3.35958,1.98449,2.17712
-3.37583,1.95494,2.18657,-3.357,1.96165,2.17563
-3.35462,1.92688,2.18399,-3.35536,1.91837,2.17475
-3.32332,1.89466,2.17619,-3.35787,1.89878,2.17629
-3.31437,1.87239,2.17964,-3.28127,1.88736,2.17686
-3.28784,1.84276,2.17405,-3.27979,1.84525,2.17606
-3.2787,1.82072,2.17727,-3.28507,1.82771,2.17933
-3.26613,1.79737,2.17867,-3.28257,1.80588,2.17785
-3.25765,1.77584,2.18212,-3.2761,1.78199,2.17394
-3.24741,1.7537,2.18462,-3.27648,1.76198,2.17422
1.05456,0.0600876,-0.0679775,1.04361,0.0716827,-0.0673367
1.11764,0.109096,-0.131535,1.12214,0.119176,-0.130912
1.11925,0.111898,-0.133814,1.12214,0.119176,-0.130912
1.20238,0.158545,-0.209972,1.20357,0.158019,-0.215604
1.21891,0.167502,-0.22498,1.22895,0.172983,-0.225718
1.18942,0.224178,-0.228993,1.18577,0.219214,-0.237399
1.17013,0.256712,-0.229691,1.1818,0.258503,-0.235628
1.1694,0.260273,-0.230705,1.18076,0.264024,-0.235172
1.16866,0.263834,-0.231709,1.18076,0.264024,-0.235172
1.1646,0.267319,-0.230436,1.18076,0.264024,-0.235172
1.15566,0.27416,-0.227267,1.14861,0.274693,-0.235271
1.13006,0.311237,-0.225614,1.1422,0.312768,-0.232389
1.0559,0.437557,-0.228831,1.05883,0.443062,-0.235152
1.0523,0.440008,-0.227424,1.05883,0.443062,-0.235152
1.05095,0.443161,-0.227844,1.05708,0.448083,-0.234309
0.989889,0.546997,-0.230422,0.979801,0.544952,-0.234483
0.937103,0.635125,-0.231955,0.933885,0.637156,-0.235287
0.92776,0.645152,-0.229866,0.933885,0.637156,-0.235287
-2.9982,3.22935,1.3384,-2.9942,3.22798,1.33668
-3.7366,2.42231,2.18128,-3.7067,2.42454,2.17929
-3.67916,2.33025,2.18132,-3.69482,2.32042,2.17307
-3.66361,2.30183,2.18281,-3.69134,2.29446,2.17124
-3.64215,2.27069,2.18145,-3.60605,2.254,2.1746
-3.59525,2.18715,2.18504,-3.60291,2.18273,2.17302
-3.50339,2.06502,2.17447,-3.51775,2.07617,2.17445
-3.49678,2.04255,2.1795,-3.51858,2.03241,2.17502
-3.47507,2.01341,2.17712,-3.51146,2.00634,2.17102
-3.46075,1.9878,2.17826,-3.43922,1.99771,2.17593
-3.42512,1.93404,2.17687,-3.44515,1.93653,2.17954
-3.41718,1.91171,2.18095,-3.4454,1.9153,2.17973
-3.38428,1.86022,2.18045,-3.36108,1.85876,2.17831
-3.37857,1.8392,2.18548,-3.36108,1.85876,2.17831
-3.34092,1.80519,2.17435,-3.352,1.79175,2.17303
-3.33586,1.78475,2.17958,-3.352,1.79175,2.17303
-3.32065,1.76033,2.17961,-3.35274,1.75125,2.17356
0.42784,-0.326013,0.515204,0.434486,-0.34066,0.50942
0.531705,-0.271418,0.42362,0.536227,-0.277075,0.415183
1.20184,0.15439,-0.197794,1.19581,0.156425,-0.198959
1.21275,0.22611,-0.234777,1.21963,0.230508,-0.23701
1.20961,0.229906,-0.234269,1.21963,0.230508,-0.23701
1.1968,0.241189,-0.230445,1.1848,0.241911,-0.236938
1.13606,0.328085,-0.226176,1.14804,0.320131,-0.234924
1.08837,0.405018,-0.226431,1.08809,0.406839,-0.235402
1.07614,0.434187,-0.230406,1.08658,0.441065,-0.234631
1.05601,0.453268,-0.224959,1.05708,0.448083,-0.234309
1.05462,0.456432,-0.225349,1.05708,0.448083,-0.234309
1.05321,0.459592,-0.225729,1.06023,0.461069,-0.235775
1.0533,0.46328,-0.227314,1.06023,0.461069,-0.235775
0.952009,0.637448,-0.232322,0.961033,0.639934,-0.237006
-3.78621,2.40626,2.17903,-3.797,2.39637,2.17775
-3.76353,2.37354,2.17754,-3.79227,2.36897,2.17531
-3.736,2.31772,2.18242,-3.69482,2.32042,2.17307
-3.71293,2.28553,2.18046,-3.69467,2.27288,2.1731
-3.67642,2.24713,2.17215,-3.69869,2.25178,2.17533
-3.67137,2.22417,2.17832,-3.70262,2.23068,2.17751
-3.64956,2.19338,2.17662,-3.6907,2.17694,2.17116
-3.63346,2.16551,2.17749,-3.60036,2.1583,2.17165
-3.63226,2.14475,2.1853,-3.60698,2.13949,2.17538
-3.60092,2.11021,2.17882,-3.60654,2.11652,2.17519
-3.58113,2.08127,2.1777,-3.5991,2.06712,2.17116
-3.5537,2.04912,2.17283,-3.52169,2.05632,2.17674
-3.54204,2.02427,2.17539,-3.51858,2.03241,2.17502
-3.51688,1.99365,2.17139,-3.51433,1.98614,2.17271
-3.50501,1.96907,2.17371,-3.514,1.96419,2.17257
-3.50563,1.95,2.18203,-3.514,1.96419,2.17257
-3.48518,1.92201,2.18006,-3.50755,1.91739,2.16899
-3.45957,1.89209,2.17548,-3.43619,1.88894,2.17441
-3.44478,1.86693,2.17609,-3.43623,1.86783,2.17448
-3.42147,1.83845,2.17243,-3.426,1.84125,2.16857
-3.409,1.81461,2.17404,-3.4321,1.82362,2.17217
-3.39559,1.79055,2.17513,-3.43465,1.78333,2.17376
-3.3744,1.74507,2.17992,-3.35274,1.75125,2.17356
0.788381,-0.0932067,0.181104,0.787435,-0.0960703,0.183757
0.825033,-0.0775119,0.150933,0.821044,-0.0749826,0.15448
0.840987,-0.0793099,0.141303,0.838006,-0.0655303,0.143482
0.868424,-0.0505886,0.111828,0.870263,-0.0414403,0.11132
1.15734,0.132804,-0.150219,1.15619,0.138874,-0.142878
1.20943,0.247387,-0.230561,1.21937,0.253958,-0.236854
1.20791,0.2511,-0.23108,1.21937,0.253958,-0.236854
1.19909,0.262121,-0.229824,1.1818,0.258503,-0.235628
1.19835,0.265797,-0.230839,1.18239,0.270165,-0.235852
1.19677,0.269451,-0.231295,1.18239,0.270165,-0.235852
1.19101,0.272969,-0.22898,1.18239,0.270165,-0.235852
1.17541,0.29418,-0.227463,1.18354,0.287827,-0.236301
1.17457,0.297768,-0.228373,1.18354,0.287827,-0.236301
1.17289,0.301296,-0.228713,1.18746,0.300489,-0.23794
1.1653,0.311614,-0.227977,1.14804,0.320131,-0.234924
1.16111,0.314868,-0.226577,1.14804,0.320131,-0.234924
1.14892,0.335267,-0.226938,1.15253,0.332964,-0.236856
1.14549,0.33845,-0.226006,1.15253,0.332964,-0.236856
1.1445,0.341931,-0.226774,1.14845,0.349155,-0.235039
1.13718,0.366243,-0.231895,1.14705,0.354538,-0.234415
1.12966,0.368582,-0.227959,1.11991,0.370435,-0.236192
1.08745,0.431567,-0.22612,1.08917,0.436272,-0.235835
1.08614,0.434846,-0.226597,1.08917,0.436272,-0.235835
1.08481,0.438122,-0.227065,1.08658,0.441065,-0.234631
1.08076,0.447927,-0.228414,1.08306,0.45132,-0.23298
1.06417,0.471988,-0.227407,1.06427,0.468724,-0.237677
1.06271,0.475189,-0.227761,1.06055,0.478809,-0.235885
0.989485,0.582975,-0.223968,0.981699,0.582021,-0.235374
0.943768,0.665967,-0.227971,0.935522,0.66994,-0.236097
0.938782,0.680232,-0.230524,0.937712,0.684478,-0.237247
0.936007,0.68247,-0.22963,0.937712,0.684478,-0.237247
0.913011,0.724034,-0.23157,0.917231,0.72506,-0.238133
0.315814,0.793955,0.12783,0.31885,0.785953,0.128276
-3.75315,2.62722,2.02579,-3.75716,2.63054,2.01221
-3.84101,2.39227,2.17821,-3.797,2.39637,2.17775
-3.81658,2.35867,2.17598,-3.79227,2.36897,2.17531
-3.79782,2.32815,2.1762,-3.78628,2.31683,2.17226
-3.7591,2.26721,2.17579,-3.78914,2.27064,2.17388
-3.75416,2.24393,2.18203,-3.77985,2.2413,2.16902
-3.73073,2.21207,2.17975,-3.70101,2.20633,2.17669
-3.68598,2.15014,2.17583,-3.68337,2.14954,2.16724
-3.67054,2.12271,2.17694,-3.68451,2.12725,2.16791
-3.64743,2.09203,2.17439,-3.61145,2.09679,2.17796
-3.63848,2.0679,2.17838,-3.61145,2.09679,2.17796
-3.61681,2.0383,2.17632,-3.59754,2.04388,2.17034
-3.60681,2.01402,2.17968,-3.59823,2.02202,2.17078
-3.58239,1.98368,2.17614,-3.60088,1.97926,2.17235
-3.56795,1.95785,2.17725,-3.5997,1.95663,2.17174
-3.55679,1.93356,2.17986,-3.60078,1.93533,2.1724
-3.52949,1.90273,2.17466,-3.51398,1.89944,2.1727
-3.51559,1.87767,2.1758,-3.51404,1.87807,2.17279
-3.50412,1.85377,2.17805,-3.52111,1.86052,2.17686
-3.48917,1.82861,2.17856,-3.51388,1.83545,2.17279
-3.46566,1.80024,2.17481,-3.43814,1.80596,2.17574
-3.43695,1.75132,2.17602,-3.43212,1.74072,2.17237
0.969569,0.00864188,0.0272872,0.963602,0.0178698,0.0219867
1.0737,0.0790894,-0.0668482,1.06865,0.0831393,-0.0752652
1.20601,0.279628,-0.230558,1.21602,0.276841,-0.235419
1.20354,0.283262,-0.230439,1.21602,0.276841,-0.235419
1.19526,0.297734,-0.230924,1.18865,0.294936,-0.238458
1.19441,0.301406,-0.231842,1.18746,0.300489,-0.23794
1.11307,0.425319,-0.229404,1.11792,0.428148,-0.235173
1.10082,0.451777,-0.232133,1.08972,0.460066,-0.23604
1.09341,0.456964,-0.229486,1.08972,0.460066,-0.23604
1.092,0.460275,-0.229909,1.08972,0.460066,-0.23604
1.08982,0.463325,-0.229734,1.08972,0.460066,-0.23604
1.08839,0.466624,-0.230138,1.09296,0.467416,-0.237521
1.02563,0.559674,-0.227235,1.03429,0.558104,-0.23631
1.02387,0.562742,-0.227336,1.03429,0.558104,-0.23631
1.00636,0.593512,-0.228439,1.0051,0.593396,-0.234999
0.967883,0.657618,-0.229466,0.959574,0.658011,-0.236197
0.966404,0.660991,-0.229867,0.959574,0.658011,-0.236197
0.955725,0.675244,-0.228745,0.958957,0.670456,-0.235844
0.95356,0.67807,-0.228493,0.958957,0.670456,-0.235844
0.951993,0.681415,-0.228826,0.962685,0.686187,-0.237771
0.89658,0.778889,-0.232352,0.899942,0.783146,-0.240399
