x1,y1,z1,x2,y2,z2
0.0796259,0.949845,-0.241291,0.00929335,0.957641,-0.229457
-0.53059,0.874704,0.268073,-0.529528,0.856138,0.12707
-0.201701,0.811118,0.00998941,-0.197794,0.801037,0.0111577
0.178851,1.12061,-0.246189,0.021519,1.10334,-0.250874
0.17692,1.12575,-0.244698,0.021519,1.10334,-0.250874
0.242616,1.1121,-0.243979,0.021519,1.10334,-0.250874
0.244323,1.1216,-0.244958,0.021519,1.10334,-0.250874
0.247626,1.15638,-0.246597,0.021519,1.10334,-0.250874
0.253408,1.17927,-0.250058,0.0209494,1.21331,-0.248401
0.299759,-0.0781188,-0.237326,0.599174,-0.0881958,-0.232755
0.302361,0.324386,-0.233373,0.601219,0.319773,-0.233418
0.302081,0.328542,-0.233153,0.601219,0.319773,-0.233418
0.301785,0.332697,-0.232924,0.601219,0.319773,-0.233418
0.313434,-1.38935,-0.25148,0.610805,-1.4256,-0.246113
0.317435,-1.3808,-0.253651,0.610805,-1.4256,-0.246113
0.316208,-1.27032,-0.251485,0.613078,-1.25452,-0.24759
0.31729,-1.25766,-0.251935,0.612443,-1.24095,-0.247017
0.314053,-1.2375,-0.24982,0.612443,-1.24095,-0.247017
0.312158,-0.495065,-0.238898,0.603245,-0.499505,-0.237282
0.314981,-0.490851,-0.240453,0.603245,-0.499505,-0.237282
0.322872,-0.445086,-0.244352,0.604365,-0.436449,-0.238064
0.320312,-0.430266,-0.242694,0.604365,-0.436449,-0.238064
0.322178,-0.425446,-0.243695,0.604365,-0.436449,-0.238064
0.322594,-0.419494,-0.243854,0.604365,-0.436449,-0.238064
0.322264,-0.412992,-0.243579,0.604365,-0.436449,-0.238064
0.317976,-0.332075,-0.240059,0.601104,-0.315009,-0.234984
0.320181,-0.327837,-0.241261,0.601104,-0.315009,-0.234984
0.32237,-0.323588,-0.242455,0.601104,-0.315009,-0.234984
0.320836,0.0564391,-0.236542,0.597296,0.0690765,-0.228602
0.315111,0.0924699,-0.232796,0.597296,0.0690765,-0.228602
0.313992,0.0969821,-0.232098,0.597296,0.0690765,-0.228602
0.326271,0.343312,-0.235842,0.601219,0.319773,-0.233418
0.32851,0.347878,-0.23706,0.601219,0.319773,-0.233418
0.338432,-1.25753,-0.251464,0.612443,-1.24095,-0.247017
0.342256,-1.24985,-0.253494,0.612443,-1.24095,-0.247017
0.341686,-1.2347,-0.252981,0.612443,-1.24095,-0.247017
0.334274,-1.05475,-0.246533,0.610434,-1.05116,-0.242613
