x1,y1,z1,x2,y2,z2
-0.294814,-0.510554,-0.111311,-0.225037,-0.491761,-0.101862
-0.299409,-0.410736,-0.119593,-0.22584,-0.432947,-0.120705
-0.32158,-0.29727,-0.114626,-0.224085,-0.429382,-0.12633
-0.299583,-0.413061,-0.116842,-0.22584,-0.432947,-0.120705
-0.458081,0.420415,-0.0842955,-0.339608,0.414767,0.0022909
-0.296554,-0.412612,-0.112574,-0.22584,-0.432947,-0.120705
-0.319128,-0.298602,-0.107483,-0.224085,-0.429382,-0.12633
-0.920595,-0.57773,0.41824,-0.927016,-0.579284,0.417076
-0.888436,-0.574924,0.391923,-0.89006,-0.570842,0.395052
-0.296301,-0.464779,-0.0994603,-0.223733,-0.466968,-0.0994038
-0.899263,0.366224,0.291104,-0.898219,0.369458,0.304885
-1.00709,0.371889,0.377589,-1.0153,0.359449,0.379788
-0.293922,-0.437305,-0.0974486,-0.225144,-0.442167,-0.101851
-0.294561,-0.433045,-0.0974284,-0.225144,-0.442167,-0.101851
-1.05641,0.357231,0.414846,-1.06403,0.357165,0.412742
-0.438758,0.417361,-0.0739465,-0.339608,0.414767,0.0022909
-0.473459,0.416772,-0.0470287,-0.351498,0.414767,0.0220604
-0.940747,0.383147,0.318319,-0.942612,0.364072,0.314642
-1.03879,0.361385,0.396613,-1.03602,0.357239,0.395366
-0.591619,-0.529564,0.153226,-0.759559,-0.547472,0.289719
-0.299089,-0.395387,-0.0779244,-0.224678,-0.441028,-0.0926656
-0.92608,0.374223,0.304291,-0.925628,0.366809,0.312153
-0.296265,-0.448102,-0.0662931,-0.224608,-0.447133,-0.0622064
-0.29748,-0.400227,-0.0704105,-0.224678,-0.441028,-0.0926656
-1.01222,0.366133,0.365018,-1.00948,0.356806,0.367863
-0.291002,-0.454484,-0.0472161,-0.226174,-0.450875,-0.0443275
-0.315999,-0.302138,-0.0452905,-0.224476,-0.445478,-0.0484657
-0.975369,-0.588041,0.417616,-0.978559,-0.58063,0.41666
-0.303877,-0.2705,-0.0500658,-0.221352,-0.44151,-0.0792293
-0.306109,-0.266426,-0.048997,-0.224476,-0.445478,-0.0484657
-0.907222,0.375745,0.281962,-0.898219,0.369458,0.304885
-0.296348,-0.4046,-0.0362211,-0.224476,-0.445478,-0.0484657
-0.292926,-0.471729,-0.0263386,-0.225925,-0.471862,-0.0197178
-0.301178,-0.345685,-0.0326233,-0.224476,-0.445478,-0.0484657
-0.614024,-0.53755,0.180666,-0.753966,-0.54397,0.296998
-0.292394,-0.472718,-0.00926234,-0.226278,-0.476072,0.00182965
-0.312208,0.417898,-0.0732117,-0.291574,0.418361,-0.0637541
-0.318489,0.415903,-0.0693988,-0.291574,0.418361,-0.0637541
-0.7109,-0.546499,0.239486,-0.759559,-0.547472,0.289719
-0.309488,0.418312,-0.0675498,-0.291574,0.418361,-0.0637541
-0.299673,-0.462836,0.0104971,-0.226548,-0.458983,0.00154565
-0.55523,-0.533214,0.155846,-0.753966,-0.54397,0.296998
-0.320777,-0.337091,0.0277696,-0.228497,-0.445883,0.0251607
-0.319882,-0.308225,0.0251992,-0.228497,-0.445883,0.0251607
