x1,y1,z1,x2,y2,z2
-0.642571,-1.23805,-0.269783,-0.644867,-1.24475,-0.292206
-0.634559,-1.22919,-0.269883,-0.630358,-1.2264,-0.290933
-0.628608,-1.22753,-0.272729,-0.630358,-1.2264,-0.290933
-0.59643,-1.18813,-0.270965,-0.590692,-1.19144,-0.290786
-0.588571,-1.17821,-0.27037,-0.588887,-1.17634,-0.289016
-0.583289,-1.1782,-0.273722,-0.588887,-1.17634,-0.289016
0.356798,-0.0526808,-0.236712,0.60015,-0.0420314,-0.231455
0.359034,-0.0498185,-0.23652,0.60015,-0.0420314,-0.231455
0.803725,0.454676,-0.234747,0.805562,0.455785,-0.231678
0.884983,0.540443,-0.238042,0.889275,0.542776,-0.234901
0.93196,0.589265,-0.240375,0.938306,0.591173,-0.23778
0.933897,0.595295,-0.238207,0.938306,0.591173,-0.23778
0.998456,0.671453,-0.236306,0.989213,0.675397,-0.239021
1.01548,0.690373,-0.236461,1.01352,0.689094,-0.238999
1.03149,0.709167,-0.236041,1.03696,0.708794,-0.237277
1.04588,0.72165,-0.238149,1.04426,0.727794,-0.240794
1.11099,0.795308,-0.238005,1.10624,0.802002,-0.242915
1.12528,0.815045,-0.235965,1.13001,0.815906,-0.239753
1.14196,0.836318,-0.234568,1.15239,0.844543,-0.23568
1.2186,0.923655,-0.234049,1.23009,0.929002,-0.239811
1.2286,0.936079,-0.233401,1.22633,0.934719,-0.23825
1.24948,0.954664,-0.236193,1.25918,0.956227,-0.236115
0.799459,1.15961,0.165322,0.825389,1.09712,0.173861
0.196183,0.656346,0.265028,0.17468,0.693126,0.266565
-0.0561541,1.73097,1.03114,-0.118443,1.70646,0.979377
-0.645074,-1.25504,-0.272401,-0.642003,-1.25084,-0.289714
-0.639012,-1.25342,-0.275308,-0.642003,-1.25084,-0.289714
-0.628493,-1.2355,-0.271926,-0.630358,-1.2264,-0.290933
-0.620802,-1.22749,-0.272297,-0.619719,-1.22741,-0.292885
-0.595984,-1.19518,-0.269877,-0.589278,-1.19986,-0.289455
-0.588105,-1.18527,-0.269298,-0.588887,-1.17634,-0.289016
0.341684,-0.0878135,-0.241691,0.599153,-0.0980032,-0.23076
0.362458,-0.0588346,-0.238587,0.60015,-0.0420314,-0.231455
0.509834,0.110926,-0.236549,0.599783,0.109168,-0.230749
0.810303,0.445314,-0.238932,0.810544,0.44367,-0.234813
0.810105,0.449902,-0.236248,0.808899,0.447717,-0.233778
0.814265,0.455868,-0.235534,0.807238,0.451755,-0.232733
0.831267,0.470739,-0.237929,0.828205,0.471424,-0.234647
0.877287,0.515446,-0.241925,0.89042,0.521116,-0.235601
0.882098,0.522126,-0.241223,0.888438,0.525471,-0.234466
0.883393,0.527587,-0.238991,0.884904,0.528876,-0.232454
0.892517,0.535916,-0.240081,0.889275,0.542776,-0.234901
0.892889,0.541101,-0.237423,0.889275,0.542776,-0.234901
0.89324,0.546286,-0.23475,0.889275,0.542776,-0.234901
0.932904,0.587318,-0.236799,0.938306,0.591173,-0.23778
0.933964,0.593004,-0.234294,0.938306,0.591173,-0.23778
0.942816,0.601855,-0.234923,0.939837,0.604258,-0.238577
1.00458,0.671759,-0.234758,1.00998,0.666748,-0.237281
1.0157,0.682353,-0.23584,1.01161,0.681098,-0.238066
1.0419,0.711514,-0.236051,1.03696,0.708794,-0.237277
1.04941,0.720844,-0.235567,1.04426,0.727794,-0.240794
1.06517,0.740085,-0.23474,1.06731,0.740704,-0.238514
1.06655,0.746737,-0.231898,1.06514,0.746303,-0.237474
1.11708,0.795815,-0.236288,1.10624,0.802002,-0.242915
1.12368,0.811731,-0.231561,1.13001,0.815906,-0.239753
1.172,0.855792,-0.237366,1.15765,0.864448,-0.237934
1.17892,0.866011,-0.236015,1.19015,0.860963,-0.237864
1.2205,0.915194,-0.234721,1.22765,0.910095,-0.238848
1.22463,0.92436,-0.232205,1.23009,0.929002,-0.239811
1.24559,0.942828,-0.23508,1.26003,0.939343,-0.23649
1.26393,0.960063,-0.237,1.25918,0.956227,-0.236115
0.539304,0.615816,0.0265848,0.53436,0.618986,0.0273726
0.538045,0.61894,0.0291193,0.53436,0.618986,0.0273726
0.534304,0.620485,0.0323333,0.53436,0.618986,0.0273726
0.800422,1.16008,0.166029,0.825389,1.09712,0.173861
0.151933,0.617448,0.271065,0.146538,0.668218,0.275794
-0.64767,-1.28098,-0.274262,-0.64049,-1.28423,-0.288478
-0.61901,-1.23804,-0.26844,-0.619719,-1.22741,-0.292885
-0.61325,-1.23726,-0.271561,-0.603795,-1.22849,-0.28932
-0.60749,-1.23646,-0.274668,-0.603795,-1.22849,-0.28932
0.379845,-0.0587846,-0.238896,0.60015,-0.0420314,-0.231455
0.382885,-0.056043,-0.239269,0.60015,-0.0420314,-0.231455
0.464145,0.0390846,-0.237307,0.600213,0.043121,-0.231285
0.518329,0.100436,-0.237135,0.599723,0.102491,-0.230717
0.553571,0.144766,-0.234604,0.601429,0.149985,-0.232032
0.559516,0.148702,-0.236112,0.601429,0.149985,-0.232032
0.599319,0.192846,-0.236491,0.604326,0.192302,-0.234365
